,barcode,catno,community,country,format,genre,id,label,resource_url,style,thumb,title,type,uri,year
0,[],JMT 514 013-2,"{'have': 39, 'want': 6}",Germany,"['CD', 'Album']",['Jazz'],1221890,['JMT Productions'],https://api.discogs.com/releases/1221890,['Contemporary Jazz'],https://api-img.discogs.com/Q18c3FaG0XF1VK7LvWKcBoopyOA=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1221890-1313354123.jpeg.jpg,Tim Berne's Caos Totale - Nice View,release,/Tim-Bernes-Caos-Totale-Nice-View/release/1221890,1994
1,[],JMT 514 019-2,"{'have': 23, 'want': 3}",Germany,"['CD', 'Album']",['Jazz'],1221908,"['JMT Productions', 'Instants Chavirés']",https://api.discogs.com/releases/1221908,['Free Jazz'],https://api-img.discogs.com/7SFqyQNtgd5iajXHUqlkZpSAyRY=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1221908-1201776294.jpeg.jpg,Tim Berne's Bloodcount - Lowlife: The Paris Concert,release,/Tim-Bernes-Bloodcount-Lowlife-The-Paris-Concert/release/1221908,1995
2,[],6.5,"{'have': 30, 'want': 11}",US,"['Vinyl', '7""', '33 ⅓ RPM']",['Jazz'],1220501,"[""Yak'uz'a""]",https://api.discogs.com/releases/1220501,['Free Improvisation'],,Matthew Shipp Duo With William Parker - Summertime,release,/Matthew-Shipp-Duo-With-William-Parker-Summertime/release/1220501,1995
3,[],314 527 746-2,"{'have': 6, 'want': 3}",US,"['CD', 'Album']",['Jazz'],1220765,['Verve Forecast'],https://api.discogs.com/releases/1220765,['Smooth Jazz'],https://api-img.discogs.com/alQWT50a_6jXhWYFsqwjj5Pij4Y=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1220765-1201655906.gif.jpg,Philippe Saisse - Masques,release,/Philippe-Saisse-Masques/release/1220765,1995
4,[],PI04,"{'have': 21, 'want': 6}",US,"['CD', 'Album']",['Jazz'],1220811,['Pi Recordings'],https://api.discogs.com/releases/1220811,['Contemporary Jazz'],https://api-img.discogs.com/SpcPQGOFcR4yOmWouS5KBhv_Nl0=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1220811-1201655818.jpeg.jpg,Wadada Leo Smith's Golden Quartet - The Year Of The Elephant,release,/Wadada-Leo-Smiths-Golden-Quartet-The-Year-Of-The-Elephant/release/1220811,2002
5,[],LPJT 61,"{'have': 37, 'want': 10}",Italy,"['Vinyl', 'LP', 'Compilation']",['Jazz'],506557,['Giants Of Jazz'],https://api.discogs.com/masters/506557,"['Cool Jazz', 'Bop']",https://api-img.discogs.com/q8_QiPW73rfQg4IOYP6e43AS_5A=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-4153056-1382132436-3665.jpeg.jpg,Gerry Mulligan Quartet With Chet Baker - Gerry Mulligan Quartet With Chet Baker,master,/Gerry-Mulligan-Quartet-With-Chet-Baker-Gerry-Mulligan-Quartet-With-Chet-Baker/master/506557,1986
6,"['5 013428 732441', '5013428732441', 'S CCSCD 244 01']",CCSCD 244,"{'have': 24, 'want': 2}",UK,"['CD', 'Compilation']",['Jazz'],506836,"['Castle Communications', 'The Collector Series', 'CBS Records', 'Castle Communications PLC', 'Disctronics']",https://api.discogs.com/masters/506836,['Fusion'],https://api-img.discogs.com/XTCga2oX-GDpFfK_mzYZs0sOVa4=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1721869-1239187129.jpeg.jpg,Weather Report - The Collection,master,/Weather-Report-The-Collection/master/506836,1990
7,"['MARK56 581-A RE', 'MARK56 581-B RE']",582,"{'have': 6, 'want': 1}",US,"['Vinyl', 'LP', 'Album']",['Jazz'],507187,['Mark56 Records'],https://api.discogs.com/masters/507187,['Big Band'],https://api-img.discogs.com/OKrstoJorasYRmq-uasUWmTLPxY=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-4158718-1357242151-2451.jpeg.jpg,Stan Kenton - Balboa / Summer 1941,master,/Stan-Kenton-Balboa-Summer-1941/master/507187,1972
8,[],7243 8 23211 2 5,"{'have': 11, 'want': 1}",Netherlands,"['CD', 'Album']",['Jazz'],1374170,['Blue Note'],https://api.discogs.com/releases/1374170,"['Bop', 'Cool Jazz']",https://api-img.discogs.com/cHkGk_AYG77cEJ4E1ZAxNT2WumU=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1374170-1224808826.jpeg.jpg,Mose Allison - Gimcracks And Gewgaws,release,/Mose-Allison-Gimcracks-And-Gewgaws/release/1374170,1998
9,[],Q 16118,"{'have': 36, 'want': 16}",US,"['Vinyl', 'LP']",['Jazz'],584438,['51 West'],https://api.discogs.com/masters/584438,[],https://api-img.discogs.com/_4OxfBhFfokMRfobe8uEgWF0to8=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-5255042-1388848678-6411.jpeg.jpg,Jimmy Ponder - Ponder'n,master,/Jimmy-Ponder-Pondern/master/584438,1981
